exercise,equipment,difficulty,link,img_link,video_link,step
Dumbbell Goblet Squat,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Quads/Dumbbell-Goblet-Squat,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-squat-front.gif,https://www.youtube.com/watch?v=fgtbciu_Mss%7C,"1. 팔꿈치를 윗면에 넣고 팔꿈치를 유지하십시오. 발은 어깨 너비보다 약간 더 넓어야합니다.
2. 팔꿈치를 무릎 트랙 안에두고 쪼그리고 앉으십시오.
3. 가슴을 유지하면서 발 뒤꿈치를 밀고 시작 위치로 돌아갑니다."
Bulgarian Split Squat,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Bulgarian-Split-Squat,https://www.musclewiki.com/media/uploads/bodyweight-male-bulgariansplitsquat-side.gif,https://youtu.be/ahTSVx1fYfo,"1. 등을 벤치 (또는 올라간 표면)로 서서 발 중 하나를 벤치에 놓습니다.
2. 앞다리가 바닥과 평행 할 때까지 쪼그리고 앉습니다.
3. 시작 위치로 돌아갑니다.원하는 양의 반복을 완료 한 후 다리를 전환하고 반복하십시오."
Step Up,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Quads/Step-Up,https://www.musclewiki.com/media/uploads/kettlebell-male-stepup-front.gif,https://youtu.be/2RUqvo7Sg68,"1. 벤치를 발걸음으로 사용하여 똑바로 서서 벤치에 한 발을 들어 올리고 케틀벨을 똑바로 다리와 같은 팔에 쥐고 있습니다.
2. 서서 두 발을 벤치로 가져옵니다.다리를 천천히 아래로 내려서 시작 위치로 내려갑니다.
3. 반복하십시오."
Kettlebell Goblet Squat,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Quads/Kettlebell-Goblet-Squat,https://www.musclewiki.com/media/uploads/kettlebell-male-gobletsquat-side.gif,https://youtu.be/_d9MirDZUdk,"1. 팔꿈치를 윗면에 넣고 팔꿈치를 넣습니다. 발은 어깨보다 약간 더 넓어야합니다.
2. 팔꿈치를 무릎 트랙 안에두고 쪼그리고 앉으십시오.
3. 가슴을 위로 유지하면서 발 뒤꿈치를 밀고 시작 위치로 돌아갑니다."
Heels Up Goblet Squat,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Quads/Heels-Up-Goblet-Squat,https://www.musclewiki.com/media/uploads/kettlebell-male-heelsupgobletsquat-front.gif,https://youtu.be/09B7ReyYPM8,"1. 팔꿈치를 윗면에두고 무게를 윗면에 넣고 팔꿈치를 유지하십시오. 발은 어깨보다 약간 더 넓어야합니다.
2. 팔꿈치를 무릎 트랙 안에두고 쪼그리고 앉으십시오.
3. 가슴을 위로 유지하면서 발 뒤꿈치를 밀고 시작 위치로 돌아갑니다."
Reverse Lunge,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Quads/Reverse-Lunge,https://www.musclewiki.com/media/uploads/kettlebell-male-reverselunge-side.gif,https://youtu.be/C_aDqJafECE,"1. 발을 약간 떨어 뜨리고 똑바로 서서 한 손으로 케틀벨을 잡습니다.
2. 케틀벨을 잡고있는 팔과 같은 다리를 가져 와서 등 무릎이 땅에 닿을 때까지 쪼그리고 앉아 등을 똑바로 유지하십시오.
3. 시작 위치로 돌아가서 반복하십시오."
Forward Lunge,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Quads/Forward-Lunge,https://www.musclewiki.com/media/uploads/kettlebell-male-forwardlunge-front.gif,https://youtu.be/jLTnxqYwflg,"1. 발을 약간 떨어 뜨리고 똑바로 서서 한 손으로 케틀벨을 잡습니다.
2. 케틀벨을 앞에 잡고있는 팔과 같은 다리를 가져 와서 허벅지가 땅과 평행해질 때까지 쪼그리고 앉아 등을 똑바로 유지하십시오.
3. 시작 위치로 돌아가서 반복하십시오."
Lateral Lunge,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Quads/Lateral-Lunge,https://www.musclewiki.com/media/uploads/kettlebell-male-laterallunge-side.gif,https://youtu.be/20DUEusp-AA,"1. 발을 어깨 너비로 똑바로 세우십시오.등을 똑바로 유지하고 골반 앞에 케틀벨을 잡으십시오.
2. 한쪽으로 큰 발걸음을 내딛고 케틀벨을 낮게 잡고 구부러진 다리에 뿌리십시오.
3. 시작 위치로 돌아가서 반복하십시오"
Quads Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Quads/Quads-Stretch-Variation-Four,https://www.musclewiki.com/media/uploads/male-strech-29-front.gif,https://youtu.be/umn7Jj1S4Mk,"1. 배에 평평하게 놓으십시오.손바닥을 바닥에 놓고 팔을 앞쪽으로 펴십시오.다른 팔로 발의 상단을 잡으십시오.
2. 다리를 바닥에 평평하게 유지하고 발을 엉덩이쪽으로 당겨 스트레치를 사용하십시오.
3. 몇 초 동안 일시 중지 한 다음 다른 다리로 스트레치를 반복하십시오."
Quads Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Quads/Quads-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-30-front.gif,https://youtu.be/rToyLnTO5y8,"1. 양손이 등을 뻗어 발 위에 닿아 배에 평평하게 놓으십시오.
2. 상단 다리를 땅에 평평하게 유지하고 두 발을 엉덩이쪽으로 당기십시오.
3. 스트레치의 정점에서 일시 중지 한 다음 시작 위치로 돌아갑니다."
Quads Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Quads/Quads-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-31-front.gif,https://youtu.be/VuQk0TXCUvw,"1. 1 피트를 90도 각도로 바닥에 평평하게 놓습니다.다른 다리를 사용하여 무릎에 균형을 잡고 균형을 잡기 위해 발 끝 벽에 발 끝을 놓습니다.
2. 손을 무릎 앞에서 무릎 위에 놓고 앞으로 몸을 기울여 무릎이 발 위로 뻗어 있습니다.
3. 스트레치의 정점에서 일시 중지하고 천천히 시작 위치로 돌아갑니다.다른 다리로 반복하십시오."
Quads Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Quads/Quads-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-32-front.gif,https://youtu.be/fxWiNBXPpUE,"1. 벽에 한쪽 팔을 사용하여 벽에 수직으로 서십시오.다른 팔로 발의 상단을 잡으십시오.
2. 다리를 위쪽으로 그리고 뒤로 당기기 위해 쿼드를 참여시켜 스트레치 정점에서 몇 초 동안 일시 중지하십시오.
3. 시작 위치로 돌아가서 다른 다리로 반복하십시오."
Side Lunges,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Side-Lunges,https://www.musclewiki.com/media/uploads/bodyweight-male-sidelunge-front.gif,https://youtu.be/m5y8RANJwiE,"1. 오른쪽으로 천천히 측면 단계를 밟습니다.
2. 왼쪽 무릎을 뻗고 체중을 오른쪽으로 유도하십시오.
3. 무릎을 구부리고 몸을 내립니다.
4. 시작 위치로 다시 밀어 넣습니다."
Forward Lunges,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Forward-Lunges,https://www.musclewiki.com/media/uploads/bodyweight-male-frontlunge-front.gif,https://youtu.be/hRyH9tVwMjU,"1. 한쪽 다리로 앞으로 나아갑니다.
2. 뒤쪽 무릎이 땅에 거의 닿을 때까지 몸을 내립니다.
3. 똑바로 세우고 앞발 앞발 위에 앞발을 유지하십시오.
4. 시작 위치로 돌아올 때까지 앞발로 바닥에서 밀어 넣습니다.스위치 다리."
Jump Squats,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Jump-Squats,https://www.musclewiki.com/media/uploads/bodyweight-male-jump-squats-front.gif,https://youtu.be/vE320InfPN8,"1. 발을 어깨 너비로 구분하여 서십시오.
2. 정기적 인 스쿼트를 시작한 다음 코어를 참여시키고 폭발적으로 점프하십시오.
3. 착륙 할 때 몸을 쪼그리고 앉는 자세로 다시 내립니다."
Bodyweight Squat,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Quads/Bodyweight-Squat,https://www.musclewiki.com/media/uploads/bodyweight-male-squat-front_XJQpfzY.gif,https://youtu.be/sHB6Vjxrgfk,"1. 발을 어깨 너비로 구분하여 서십시오.
2. 무릎과 엉덩이를 구부리고 몸을 낮추는 동안 쪼그리고 앉으세요
3. 전체 깊이까지 계속하십시오
4. 시작 위치로 돌아갑니다."
Goblet Squat,Cables,Beginner,https://musclewiki.com/Cables/Male/Quads/Goblet-Squat,https://www.musclewiki.com/media/uploads/cable-male-gobletsquat-front.gif,https://youtu.be/cp67Ao6O--c,"1. 직선 막대 또는 쉬운 막대 부착물로 시작하십시오.
2. 팔꿈치를 바 바로 아래 바로 아래에 놓고 똑바로 쪼그리고 앉은 다음 몇 단계를 걸어 가십시오.
3. 무릎과 엉덩이에서 부러져 쪼그리고 앉으십시오.평평한 등을 유지하십시오.
4. 서있는 위치로 되돌아 가기."
Band Squat,Band,Beginner,https://musclewiki.com/Band/Male/Quads/Band-Squat,https://www.musclewiki.com/media/uploads/band-male-squat-side.gif,https://youtu.be/60hbDzAT1p4,"1. 어깨 너비 그립으로 서십시오.두 발은 각 손에 밴드 루프가있는 밴드에 있어야합니다.
2. 엉덩이를 뒤로 밀고 무릎을 부수십시오.
3. 평행 깊이를 누르십시오 (다리의 바닥은지면과 평행해야합니다).쪼그리고 앉는 깊이를 말할 수 없다면 거울 앞에서 쪼그리고 앉아 양식을보십시오."
DB Glute Bridge,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Quads/DB-Glute-Bridge,https://www.musclewiki.com/media/uploads/male-dumbbell-glute-bridge-side.gif,https://youtu.be/aV4Kje5Bv-0,"1. 양 발을 심고 땅에 평평하게 놓으십시오.발 뒤꿈치를 바닥에 붙이십시오.
2. 아령을 엉덩이에 놓습니다.둔부가 계약을 느낄 때까지 엉덩이를 천장으로 밀어 넣으십시오.
3. 그런 다음 바닥으로 돌아갑니다."
High Bar Squat,Barbell,Beginner,https://musclewiki.com/Barbell/Male/Quads/High-Bar-Squat,https://www.musclewiki.com/media/uploads/male-barbell-higbar-squat-front.gif,https://youtu.be/-EUK9rPkklY,"1. 막대를 트랩 위에 놓습니다.
2. 엉덩이를 뒤로 밀고 무릎을 부수십시오.팔꿈치를 앞으로 밀어서 너무 멀리 걸리지 않도록하십시오.
3. 햄스트링을 바닥과 평행하게하는 것을 목표로합니다.
4. 발 뒤꿈치를 바닥에 밀고 서있는 위치로 쪼그리고 앉으십시오."
