exercise,equipment,difficulty,link,img_link,video_link,step
Barbell Hip Thrust,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Glutes/Barbell-Hip-Thrust,https://www.musclewiki.com/media/uploads/male-bb-side-hipthrust_K9Eyn2T.gif,https://youtu.be/1zCN5_hwFxo,"1. 뒤에 벤치가 있으면 땅에 앉으십시오.엉덩이 바로 위에 다리 위에 바벨을 두십시오.
2. 벤치에 뒤로 몸을 기울여서 어깨가 놓여 있도록 벤치를지지로 사용하여 팔을 양쪽으로 펴십시오.
3. 발을 운전하고 엉덩이를 위로 뻗어 체중을 높이십시오.어깨와 발로 무게를지지하십시오.
4. 가능한 한 천천히 연장 한 다음 천천히 시작 위치로 돌아갑니다."
Kettlebell Single Leg Glute Bridge,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Glutes/Kettlebell-Single-Leg-Glute-Bridge,https://www.musclewiki.com/media/uploads/kettlebell-male-SL-glute-bridge-front_sbEP6IS.gif,https://youtu.be/wT8izMVvHi8,"1. 발을 바닥에 단단히 구부리고 다리를 뻗은 무릎 하나로 바닥에 누워서 골반에 케틀벨을 놓으십시오.
2. 구부러진 다리를 밀고 코어 근육을 유지하고 위, 골반 및 허벅지가 직선을 만들 때까지 골반과 뻗은 다리를 바닥에서 내리십시오.
3.지면으로 천천히 아래쪽으로 시작하여 반복합니다."
Single Leg Hip Thrust,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Glutes/Single-Leg-Hip-Thrust,https://www.musclewiki.com/media/uploads/kettlebell-male-SL-hip-thrust-front.gif,https://youtu.be/yygg5xSI9TI,"1. 한 무릎이 바닥에 단단히 구부러지고 다리 하나가 뻗어있는 바닥에 바닥에 앉아 벤치에 등을 대고 등을 기울입니다.
2. 골반에 케틀벨을 쉬고 위, 골반 및 허벅지가 줄을 서서 골반을 들어 올리십시오.
3. 시작 위치에 있고 반복 될 때까지 천천히 낮추십시오."
Barbell Squat,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Quads/Barbell-Squat,https://www.musclewiki.com/media/uploads/barbell-male-highbarsquat-front.gif,https://youtu.be/X9AaFTU5t5c,"1. 발을 어깨 너비로 구분하여 서십시오.천연 아치를 등에 유지하고 어깨 뼈를 쥐고 가슴을 올리십시오.
2. 어깨를 가로 질러 막대를 잡고 등 뒤에지지하십시오.다리를 곧게 펴서 막대를 풀고 물러나십시오.
3. 엉덩이가 무릎 아래에있을 때까지 등의 형태를 변경하지 않고 체중을 낮추면 무릎을 구부리십시오.
4. 막대를 다시 시작 위치로 올려 놓고 다리를 들어 올리고 상단에서 숨을 내 쉰다."
Barbell Curtsy Lunge,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Quads/Barbell-Curtsy-Lunge,https://www.musclewiki.com/media/uploads/barbell-male-curtsylunge-side.gif,https://youtu.be/c-1R_mHrRp4,"1. 바벨을 등에 놓습니다
2. 무게를 동시에 가져 오는 동안 발을 뒤로 물리칩니다.
3. 다시 시작하여 다른 다리에서 반복합니다."
Split Squat,Cables,Advanced,https://musclewiki.com/Cables/Male/Quads/Split-Squat,https://www.musclewiki.com/media/uploads/cable-male-splitsquat-front.gif,https://youtu.be/IhwS7Z-Fsg0,"1.이 연습에 첨부 파일을 사용할 수 있습니다.케이블은 모두 하단으로 설정해야합니다.
2. 첨부 파일을 잡고 몇 단계를 거슬러 올라갑니다.분할 자세를 취하십시오.앞쪽의 한쪽 다리와 뒤에.
3. 무릎과 엉덩이를 끊어 스플릿 스쿼트를 시작합니다.등 무릎이 바닥에 닿아 있는지 확인하십시오.
4. 다시 서있는 위치로 쪼그리고 앉습니다."
Cable Romanian Deadlift,Cables,Intermediate,https://musclewiki.com/Cables/Male/Hamstrings/Cable-Romanian-Deadlift,https://www.musclewiki.com/media/uploads/cable-male-rdl-side.gif,https://youtu.be/tvpB7UAuIsQ,"1. 기계 바닥에 직선 바 또는 EZ 막대 부착물로 시작하십시오.무게를 서있는 자세로 쪼그리고 앉고 몇 걸음 뒤로 걸어갑니다.
2. 엉덩이를 뒤로 밀어 움직임을 시작한 다음 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣으십시오.
3. 부상으로부터 자신을 보호하려면 항상 운동에 대한 평평한 등을 유지하십시오."
Single Leg Deadlift,Cables,Advanced,https://musclewiki.com/Cables/Male/Hamstrings/Single-Leg-Deadlift,https://www.musclewiki.com/media/uploads/cable-male-slrdl-front.gif,https://youtu.be/Gb6IRCLvG9c,"1. 직선 막대 또는 쉬운 막대 부착물로 시작하십시오.무게를 서있는 자세로 쪼그리고 앉고 몇 걸음 뒤로 걸어갑니다.
2. 다리 중 하나를 들어 올리는 동안 엉덩이를 뒤로 밀어 움직임을 시작하십시오.
3. 그런 다음 서있는 자세로 돌아올 때까지 엉덩이를 앞으로 밀어 넣으십시오.
4. 주어진 양의 담당자를 경쟁 한 다음 반대쪽 다리로 전환하십시오.
5. 부상으로부터 자신을 보호하려면 항상 평평한 등을 유지하십시오."
Spanish Squat,Band,Advanced,https://musclewiki.com/Band/Male/Quads/Spanish-Squat,https://www.musclewiki.com/media/uploads/band-male-spanishsquat-side.gif,https://youtu.be/REa8GQhj0x4,no data
Glute Kickback,Band,Intermediate,https://musclewiki.com/Band/Male/Glutes/Glute-Kickback,https://www.musclewiki.com/media/uploads/band-male-kickback-side.gif,https://youtu.be/zbCIQa-ZPf8,"1. 4 배의 위치로 들어갑니다.손목과 발 중 하나 주위에 밴드를 반복하십시오.
2. 둔부의 수축처럼 느껴질 때까지 무릎과 엉덩이를 똑바로 뻗으십시오.
3. 시작 위치로 돌아올 때까지 무릎을 구부립니다."
Band Leg Press,Band,Advanced,https://musclewiki.com/Band/Male/Quads/Band-Leg-Press,https://www.musclewiki.com/media/uploads/band-male-legpress-front.gif,https://youtu.be/sTeX8vSlqAI,"1. 밴드의 앵커 포인트 옆에 머리로 바닥에 평평하게 놓으십시오.
2. 밴드를 미드 풋 주위에 놓고 무릎과 엉덩이를 뻗습니다."
Romanian Deadlift,Band,Intermediate,https://musclewiki.com/Band/Male/Hamstrings/Romanian-Deadlift,https://www.musclewiki.com/media/uploads/band-male-rdl-front.gif,https://youtu.be/3_4lEB8nKyA,no data
Dumbbell Goblet Good Morning,Dumbbells,Advanced,https://musclewiki.com/Dumbbells/Male/Hamstrings/Dumbbell-Goblet-Good-Morning,https://www.musclewiki.com/media/uploads/male-dumbbell-goblet-good-morning-front.gif,https://youtu.be/bYSV8hDuTUs,"1. 아령을 잔지에서 고정시킵니다.주먹 아래에서 팔꿈치를 직접.
2. 무릎을 대부분 연장하는 동안 엉덩이를 뒤로 밀어냅니다.당신은 당신의 햄스트링에 뻗어 있어야합니다.
3. 스트레치가 느껴지면 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣습니다."
